Transaction_ID,Customer_ID,Date,Type,Category,Merchant,Amount,Balance,Fraud_Flag
TXN00025,CUST123,2025-01-02 14:13:00,Debit,Bills,Stripe Vendor,194.18,22013.02,0
TXN00026,CUST104,2025-01-02 15:49:00,Debit,Bills,Local Shell Gas,58.53,6001.32,0
TXN00027,CUST102,2025-01-02 17:24:00,Debit,Transport,Uber,340.15,4883.66,0
TXN00028,CUST111,2025-01-02 19:00:00,Debit,Food,Amazon,96.61,11435.76,0
TXN00029,CUST107,2025-01-02 20:35:00,Debit,Food,Starbucks,113.75,16695.95,0
TXN00030,CUST121,2025-01-02 22:11:00,Credit,Shopping,Costco,8.82,15268.03,0
TXN00031,CUST102,2025-01-02 23:46:00,Debit,Bills,Amazon,27.4,4856.26,0
TXN00032,CUST100,2025-01-03 01:22:00,Debit,Bills,Amazon,125.27,8903.37,0
TXN00033,CUST102,2025-01-03 02:58:00,Debit,Entertainment,Target,70.34,4785.92,0
TXN00034,CUST104,2025-01-03 04:33:00,Debit,Health,Target,90.15,5911.17,0
TXN00035,CUST114,2025-01-03 06:09:00,Debit,Transport,Walmart,12.8,5890.56,0
TXN00036,CUST113,2025-01-03 07:44:00,Debit,Transport,Uber,220.59,21443.28,0
TXN00037,CUST102,2025-01-03 09:20:00,Debit,Shopping,Walmart,189.18,4596.74,0
TXN00038,CUST100,2025-01-03 10:55:00,Debit,Food,Starbucks,29.6,8873.77,0
TXN00039,CUST104,2025-01-03 12:31:00,Debit,Bills,Costco,125.72,5785.45,0
TXN00040,CUST122,2025-01-03 14:06:00,Debit,Health,Costco,209.66,9828.45,0
TXN00041,CUST113,2025-01-03 15:42:00,Debit,Shopping,Amazon,127.88,21315.4,0
TXN00042,CUST106,2025-01-03 17:18:00,Debit,Transport,Stripe Vendor,49.6,11440.45,0
TXN00043,CUST108,2025-01-03 18:53:00,Credit,Transport,Costco,133.09,18534.62,0
TXN00044,CUST114,2025-01-03 20:29:00,Debit,Transport,Stripe Vendor,33.36,5857.2,0
TXN00045,CUST114,2025-01-03 22:04:00,Credit,Bills,Stripe Vendor,50.97,5908.17,0
TXN00046,CUST109,2025-01-03 23:40:00,Debit,Bills,Starbucks,37.94,7621.24,0
TXN00047,CUST112,2025-01-04 01:15:00,Debit,Bills,Uber,102.68,6029.37,0
TXN00048,CUST118,2025-01-04 02:51:00,Debit,Entertainment,Amazon,18.75,18221.99,0
TXN00049,CUST106,2025-01-04 04:27:00,Credit,Food,Costco,329.92,11770.37,0
TXN00050,CUST116,2025-01-04 06:02:00,Debit,Transport,City Utilities,53.69,11188.25,0
TXN00051,CUST119,2025-01-04 07:38:00,Credit,Transport,Uber,34.66,16525.41,0
TXN00052,CUST103,2025-01-04 09:13:00,Debit,Entertainment,Target,87.35,24451.2,0
TXN00053,CUST104,2025-01-04 10:49:00,Debit,Transport,City Utilities,43.92,5741.53,0
TXN00054,CUST122,2025-01-04 12:24:00,Debit,Transport,Starbucks,96.86,9731.59,0
TXN00055,CUST106,2025-01-04 14:00:00,Debit,Bills,Uber,56.42,11713.95,0
TXN00056,CUST112,2025-01-04 15:36:00,Debit,Bills,Starbucks,22.0,6007.37,0
TXN00057,CUST114,2025-01-04 17:11:00,Credit,Food,Uber,42.09,5950.26,0
TXN00058,CUST110,2025-01-04 18:47:00,Debit,Transport,Stripe Vendor,74.24,13672.05,0
TXN00059,CUST103,2025-01-04 20:22:00,Debit,Shopping,Amazon,8.69,24442.51,0
TXN00060,CUST112,2025-01-04 21:58:00,Debit,Transport,Costco,181.7,5825.67,0
TXN00061,CUST106,2025-01-04 23:33:00,Debit,Transport,Local Shell Gas,121.69,11592.26,0
TXN00062,CUST118,2025-01-05 01:09:00,Credit,Food,Netflix,115.36,18337.35,0
TXN00063,CUST121,2025-01-05 02:44:00,Debit,Shopping,Amazon,99.77,15168.26,0
TXN00064,CUST101,2025-01-05 04:20:00,Debit,Transport,Stripe Vendor,112.08,11770.62,0
TXN00065,CUST109,2025-01-05 05:56:00,Debit,Health,Stripe Vendor,332.36,7288.88,0
TXN00066,CUST112,2025-01-05 07:31:00,Credit,Health,Local Shell Gas,6.03,5831.7,0
TXN00067,CUST124,2025-01-05 09:07:00,Credit,Shopping,Stripe Vendor,10.88,11287.26,0
TXN00068,CUST120,2025-01-05 10:42:00,Debit,Health,City Utilities,30.51,11274.62,0
TXN00069,CUST105,2025-01-05 12:18:00,Debit,Bills,Stripe Vendor,26.97,22937.45,0
TXN00070,CUST111,2025-01-05 13:53:00,Credit,Bills,Target,28.99,11464.75,0
TXN00071,CUST111,2025-01-05 15:29:00,Debit,Shopping,Costco,138.75,11326.0,0
TXN00072,CUST119,2025-01-05 17:05:00,Debit,Transport,Amazon,78.83,16446.58,0
TXN00073,CUST110,2025-01-05 18:40:00,Debit,Shopping,Netflix,581.13,13090.92,0
TXN00074,CUST122,2025-01-05 20:16:00,Debit,Health,City Utilities,35.88,9695.71,0
TXN00075,CUST124,2025-01-05 21:51:00,Debit,Shopping,City Utilities,49.67,11237.59,0
TXN00076,CUST106,2025-01-05 23:27:00,Debit,Health,Netflix,503.04,11089.22,0
TXN00077,CUST100,2025-01-06 01:02:00,Debit,Bills,Stripe Vendor,218.88,8654.89,0
TXN00078,CUST100,2025-01-06 02:38:00,Debit,Shopping,Uber,81.14,8573.75,0
TXN00079,CUST124,2025-01-06 04:13:00,Credit,Entertainment,City Utilities,102.05,11339.64,0
TXN00080,CUST124,2025-01-06 05:49:00,Credit,Health,City Utilities,227.32,11566.96,0
TXN00081,CUST119,2025-01-06 07:25:00,Debit,Entertainment,Amazon,83.7,16362.88,0
TXN00082,CUST112,2025-01-06 09:00:00,Credit,Bills,Local Shell Gas,32.68,5864.38,0
TXN00083,CUST108,2025-01-06 10:36:00,Debit,Transport,Target,216.54,18318.08,0
TXN00084,CUST102,2025-01-06 12:11:00,Credit,Health,Netflix,97.6,4694.34,0
TXN00085,CUST106,2025-01-06 13:47:00,Credit,Transport,Stripe Vendor,24.93,11114.15,0
TXN00086,CUST105,2025-01-06 15:22:00,Debit,Bills,Starbucks,89.53,22847.92,0
TXN00087,CUST107,2025-01-06 16:58:00,Debit,Transport,Starbucks,68.97,16626.98,0
TXN00088,CUST108,2025-01-06 18:34:00,Debit,Health,Uber,256.31,18061.77,0
TXN00089,CUST104,2025-01-06 20:09:00,Credit,Food,City Utilities,21.17,5762.7,0
TXN00090,CUST100,2025-01-06 21:45:00,Credit,Health,City Utilities,254.73,8828.48,0
TXN00091,CUST118,2025-01-06 23:20:00,Debit,Health,Local Shell Gas,91.14,18246.21,0
TXN00092,CUST109,2025-01-07 00:56:00,Debit,Entertainment,City Utilities,67.18,7221.7,0
TXN00093,CUST111,2025-01-07 02:31:00,Debit,Food,Starbucks,26.2,11299.8,0
TXN00094,CUST123,2025-01-07 04:07:00,Debit,Food,Netflix,149.8,21863.22,0
TXN00095,CUST114,2025-01-07 05:42:00,Debit,Food,Uber,318.76,5631.5,0
TXN00096,CUST121,2025-01-07 07:18:00,Debit,Health,Local Shell Gas,61.47,15106.79,0
TXN00097,CUST123,2025-01-07 08:54:00,Debit,Bills,Target,38.18,21825.04,0
TXN00098,CUST108,2025-01-07 10:29:00,Debit,Food,Starbucks,102.13,17959.64,0
TXN00099,CUST119,2025-01-07 12:05:00,Debit,Shopping,Walmart,195.87,16167.01,0
TXN00100,CUST116,2025-01-07 13:40:00,Debit,Transport,Amazon,5.45,11182.8,0
TXN00101,CUST116,2025-01-07 15:16:00,Debit,Bills,Local Shell Gas,124.76,11058.04,0
TXN00102,CUST119,2025-01-07 16:51:00,Debit,Shopping,Local Shell Gas,113.91,16053.1,0
TXN00103,CUST111,2025-01-07 18:27:00,Credit,Health,Starbucks,50.95,11350.75,0
TXN00104,CUST106,2025-01-07 20:03:00,Credit,Health,Uber,77.05,11191.2,0
TXN00105,CUST101,2025-01-07 21:38:00,Debit,Shopping,Amazon,39.04,11731.58,0
TXN00106,CUST102,2025-01-07 23:14:00,Debit,Entertainment,Netflix,192.21,4502.13,0
TXN00107,CUST116,2025-01-08 00:49:00,Credit,Entertainment,Netflix,125.79,11183.83,0
TXN00108,CUST104,2025-01-08 02:25:00,Debit,Shopping,City Utilities,96.3,5666.4,0
TXN00109,CUST116,2025-01-08 04:00:00,Debit,Entertainment,Walmart,64.81,11119.02,0
TXN00110,CUST123,2025-01-08 05:36:00,Debit,Transport,Costco,46.33,21778.71,0
TXN00111,CUST116,2025-01-08 07:12:00,Debit,Transport,Starbucks,212.61,10906.41,0
TXN00112,CUST116,2025-01-08 08:47:00,Debit,Health,Uber,77.05,10829.36,0
TXN00113,CUST101,2025-01-08 10:23:00,Credit,Entertainment,Amazon,88.53,11820.11,0
TXN00114,CUST101,2025-01-08 11:58:00,Credit,Food,Uber,93.28,11913.39,0
TXN00115,CUST121,2025-01-08 13:34:00,Credit,Shopping,Costco,76.38,15183.17,0
TXN00116,CUST122,2025-01-08 15:09:00,Debit,Transport,Netflix,40.5,9655.21,0
TXN00117,CUST104,2025-01-08 16:45:00,Credit,Entertainment,Uber,20.39,5686.79,0
TXN00118,CUST100,2025-01-08 18:20:00,Debit,Entertainment,Netflix,17.45,8811.03,0
TXN00119,CUST100,2025-01-08 19:56:00,Debit,Transport,Netflix,174.99,8636.04,0
TXN00120,CUST118,2025-01-08 21:32:00,Debit,Transport,Walmart,35.36,18210.85,0
TXN00121,CUST101,2025-01-08 23:07:00,Credit,Food,Netflix,20757.55,-8832.29,1
TXN00122,CUST120,2025-01-09 00:43:00,Credit,Entertainment,Stripe Vendor,196.65,11471.27,0
TXN00123,CUST111,2025-01-09 02:18:00,Credit,Entertainment,Netflix,25.08,11375.83,0
TXN00124,CUST105,2025-01-09 03:54:00,Debit,Bills,Amazon,122.75,22725.17,0
TXN00125,CUST122,2025-01-09 05:29:00,Debit,Health,Amazon,54.62,9600.59,0
TXN00126,CUST103,2025-01-09 07:05:00,Credit,Food,Amazon,21.23,24463.74,0
TXN00127,CUST122,2025-01-09 08:41:00,Credit,Transport,Local Shell Gas,69.23,9669.82,0
TXN00128,CUST110,2025-01-09 10:16:00,Credit,Transport,Starbucks,6.79,13097.71,0
TXN00129,CUST123,2025-01-09 11:52:00,Credit,Shopping,Starbucks,225.7,22004.41,0
TXN00130,CUST116,2025-01-09 13:27:00,Debit,Health,Starbucks,91.46,10737.9,0
TXN00131,CUST105,2025-01-09 15:03:00,Debit,Transport,Stripe Vendor,22.98,22702.19,0
TXN00132,CUST123,2025-01-09 16:38:00,Debit,Entertainment,Amazon,37.46,21966.95,0
TXN00133,CUST104,2025-01-09 18:14:00,Debit,Transport,City Utilities,76.3,5610.49,0
TXN00134,CUST119,2025-01-09 19:49:00,Credit,Entertainment,Starbucks,30.12,16083.22,0
TXN00135,CUST101,2025-01-09 21:25:00,Debit,Entertainment,Costco,42.54,11882.72,0
TXN00136,CUST105,2025-01-09 23:01:00,Debit,Food,Costco,96.73,22605.46,0
TXN00137,CUST121,2025-01-10 00:36:00,Debit,Transport,Uber,219.49,14963.68,0
TXN00138,CUST110,2025-01-10 02:12:00,Debit,Food,Local Shell Gas,66.67,13031.04,0
TXN00139,CUST115,2025-01-10 03:47:00,Credit,Health,City Utilities,156.47,18332.67,0
TXN00140,CUST115,2025-01-10 05:23:00,Credit,Entertainment,Netflix,256.16,18588.83,0
TXN00141,CUST100,2025-01-10 06:58:00,Credit,Health,Amazon,34.25,8670.29,0
TXN00142,CUST108,2025-01-10 08:34:00,Debit,Transport,Stripe Vendor,202.53,17757.11,0
TXN00143,CUST105,2025-01-10 10:10:00,Debit,Health,Local Shell Gas,174.96,22430.5,0
TXN00144,CUST115,2025-01-10 11:45:00,Debit,Health,Walmart,57.98,18530.85,0
TXN00145,CUST102,2025-01-10 13:21:00,Debit,Transport,Walmart,551.99,3950.14,0
TXN00146,CUST119,2025-01-10 14:56:00,Debit,Food,Target,41.55,16041.67,0
TXN00147,CUST103,2025-01-10 16:32:00,Debit,Food,Netflix,40.29,24423.45,0
TXN00148,CUST118,2025-01-10 18:07:00,Credit,Entertainment,Amazon,182.55,18393.4,0
TXN00149,CUST102,2025-01-10 19:43:00,Debit,Entertainment,Local Shell Gas,73.44,3876.7,0
TXN00150,CUST118,2025-01-10 21:18:00,Credit,Transport,Walmart,53.2,18446.6,0
TXN00151,CUST119,2025-01-10 22:54:00,Debit,Transport,Target,28.62,16013.05,0
TXN00152,CUST106,2025-01-11 00:30:00,Debit,Bills,Stripe Vendor,178.95,11012.25,0
TXN00153,CUST119,2025-01-11 02:05:00,Credit,Bills,Amazon,190.19,16203.24,0
TXN00154,CUST108,2025-01-11 03:41:00,Debit,Shopping,Walmart,105.32,17651.79,0
TXN00155,CUST100,2025-01-11 05:16:00,Debit,Entertainment,Starbucks,383.47,8286.82,0
TXN00156,CUST107,2025-01-11 06:52:00,Debit,Health,Costco,50.96,16576.02,0
TXN00157,CUST106,2025-01-11 08:27:00,Debit,Shopping,Target,34.76,10977.49,0
TXN00158,CUST117,2025-01-11 10:03:00,Debit,Shopping,Stripe Vendor,140.79,8701.8,0
TXN00159,CUST107,2025-01-11 11:39:00,Credit,Food,Walmart,175.46,16751.48,0
TXN00160,CUST100,2025-01-11 13:14:00,Credit,Health,Stripe Vendor,35.57,8322.39,0
TXN00161,CUST110,2025-01-11 14:50:00,Credit,Food,Netflix,14.56,13045.6,0
TXN00162,CUST124,2025-01-11 16:25:00,Debit,Bills,Uber,204.61,11362.35,0
TXN00163,CUST124,2025-01-11 18:01:00,Credit,Shopping,Target,455.1,11817.45,0
TXN00164,CUST117,2025-01-11 19:36:00,Debit,Bills,Local Shell Gas,129.17,8572.63,0
TXN00165,CUST122,2025-01-11 21:12:00,Debit,Health,Local Shell Gas,44.07,9625.75,0
TXN00166,CUST109,2025-01-11 22:48:00,Debit,Health,Walmart,689.67,6532.03,0
TXN00167,CUST102,2025-01-12 00:23:00,Debit,Entertainment,Starbucks,273.49,3603.21,0
TXN00168,CUST106,2025-01-12 01:59:00,Debit,Transport,Starbucks,91.43,10886.06,0
TXN00169,CUST115,2025-01-12 03:34:00,Debit,Food,Netflix,214.38,18316.47,0
TXN00170,CUST115,2025-01-12 05:10:00,Credit,Entertainment,Local Shell Gas,208.02,18524.49,0
TXN00171,CUST124,2025-01-12 06:45:00,Credit,Entertainment,Target,332.63,12150.08,0
TXN00172,CUST119,2025-01-12 08:21:00,Debit,Food,Costco,225.6,15977.64,0
TXN00173,CUST116,2025-01-12 09:56:00,Credit,Food,Starbucks,128.83,10866.73,0
TXN00174,CUST101,2025-01-12 11:32:00,Credit,Health,Local Shell Gas,117.78,12000.5,0
TXN00175,CUST100,2025-01-12 13:08:00,Debit,Health,Uber,80.59,8241.8,0
TXN00176,CUST115,2025-01-12 14:43:00,Credit,Shopping,Target,123.18,18647.67,0
TXN00177,CUST111,2025-01-12 16:19:00,Debit,Bills,Costco,195.3,11180.53,0
TXN00178,CUST104,2025-01-12 17:54:00,Credit,Health,Uber,422.0,6032.49,0
TXN00179,CUST104,2025-01-12 19:30:00,Debit,Entertainment,Local Shell Gas,80.57,5951.92,0
TXN00180,CUST122,2025-01-12 21:05:00,Debit,Shopping,Walmart,107.3,9518.45,0
TXN00181,CUST108,2025-01-12 22:41:00,Debit,Shopping,City Utilities,75.61,17576.18,0
TXN00182,CUST108,2025-01-13 00:17:00,Debit,Entertainment,City Utilities,137.49,17438.69,0
TXN00183,CUST102,2025-01-13 01:52:00,Debit,Health,Netflix,124.28,3478.93,0
TXN00184,CUST118,2025-01-13 03:28:00,Credit,Entertainment,Netflix,7.16,18453.76,0
TXN00185,CUST115,2025-01-13 05:03:00,Debit,Transport,Costco,98.49,18549.18,0
TXN00186,CUST115,2025-01-13 06:39:00,Debit,Health,Uber,16.12,18533.06,0
TXN00187,CUST102,2025-01-13 08:14:00,Debit,Bills,Local Shell Gas,8.21,3470.72,0
TXN00188,CUST119,2025-01-13 09:50:00,Debit,Entertainment,Local Shell Gas,192.96,15784.68,0
TXN00189,CUST123,2025-01-13 11:25:00,Credit,Health,Walmart,40.91,22007.86,0
TXN00190,CUST121,2025-01-13 13:01:00,Debit,Food,Stripe Vendor,54.98,14908.7,0
TXN00191,CUST123,2025-01-13 14:37:00,Debit,Transport,Netflix,12.95,21994.91,0
TXN00192,CUST100,2025-01-13 16:12:00,Credit,Bills,Stripe Vendor,28.74,8270.54,0
TXN00193,CUST123,2025-01-13 17:48:00,Debit,Health,Stripe Vendor,179.09,21815.82,0
TXN00194,CUST119,2025-01-13 19:23:00,Credit,Food,Walmart,86.64,15871.32,0
TXN00195,CUST110,2025-01-13 20:59:00,Credit,Health,Stripe Vendor,260.1,13305.7,0
TXN00196,CUST116,2025-01-13 22:34:00,Credit,Food,Stripe Vendor,65.75,10932.48,0
TXN00197,CUST107,2025-01-14 00:10:00,Credit,Bills,Walmart,42.55,16794.03,0
TXN00198,CUST103,2025-01-14 01:46:00,Debit,Transport,Starbucks,56.25,24367.2,0
TXN00199,CUST105,2025-01-14 03:21:00,Credit,Food,Stripe Vendor,154.7,22585.2,0
TXN00200,CUST107,2025-01-14 04:57:00,Debit,Shopping,Netflix,102.16,16691.87,0
TXN00201,CUST119,2025-01-14 06:32:00,Debit,Bills,Walmart,286.45,15584.87,0
TXN00202,CUST102,2025-01-14 08:08:00,Credit,Bills,Target,115.61,3586.33,0
TXN00203,CUST115,2025-01-14 09:43:00,Debit,Entertainment,Stripe Vendor,86.51,18446.55,0
TXN00204,CUST124,2025-01-14 11:19:00,Debit,Transport,Starbucks,189.87,11960.21,0
TXN00205,CUST102,2025-01-14 12:54:00,Debit,Shopping,Netflix,358.71,3227.62,0
TXN00206,CUST124,2025-01-14 14:30:00,Credit,Shopping,Amazon,57.78,12017.99,0
TXN00207,CUST117,2025-01-14 16:06:00,Debit,Entertainment,Netflix,39.5,8533.13,0
TXN00208,CUST113,2025-01-14 17:41:00,Debit,Food,Uber,119.92,21195.48,0
TXN00209,CUST117,2025-01-14 19:17:00,Credit,Food,Target,87.91,8621.04,0
TXN00210,CUST101,2025-01-14 20:52:00,Credit,Shopping,City Utilities,548.22,12548.72,0
TXN00211,CUST121,2025-01-14 22:28:00,Debit,Transport,Local Shell Gas,79.47,14829.23,0
TXN00212,CUST102,2025-01-15 00:03:00,Credit,Food,Uber,14.27,3241.89,0
TXN00213,CUST115,2025-01-15 01:39:00,Debit,Bills,Walmart,459.61,17986.94,0
TXN00214,CUST108,2025-01-15 03:15:00,Debit,Health,Walmart,227.63,17211.06,0
TXN00215,CUST103,2025-01-15 04:50:00,Debit,Entertainment,Local Shell Gas,28.56,24338.64,0
TXN00216,CUST100,2025-01-15 06:26:00,Debit,Transport,Costco,286.97,7983.57,0
TXN00217,CUST103,2025-01-15 08:01:00,Credit,Food,Costco,54.98,24393.62,0
TXN00218,CUST100,2025-01-15 09:37:00,Credit,Health,Local Shell Gas,61.81,8045.38,0
TXN00219,CUST113,2025-01-15 11:12:00,Debit,Shopping,Walmart,289.24,20906.24,0
TXN00220,CUST120,2025-01-15 12:48:00,Debit,Entertainment,Netflix,95.63,11375.64,0
TXN00221,CUST115,2025-01-15 14:24:00,Debit,Food,Target,22.79,17964.15,0
TXN00222,CUST119,2025-01-15 15:59:00,Credit,Shopping,Starbucks,60.26,15645.13,0
TXN00223,CUST123,2025-01-15 17:35:00,Credit,Food,City Utilities,158.66,21974.48,0
TXN00224,CUST107,2025-01-15 19:10:00,Credit,Entertainment,Target,27.97,16719.84,0
TXN00225,CUST106,2025-01-15 20:46:00,Debit,Bills,Local Shell Gas,112.06,10774.0,0
TXN00226,CUST102,2025-01-15 22:21:00,Credit,Bills,Walmart,147.6,3389.49,0
TXN00227,CUST116,2025-01-15 23:57:00,Debit,Health,Costco,55.56,10876.92,0
TXN00228,CUST100,2025-01-16 01:32:00,Debit,Shopping,Walmart,147.05,7898.33,0
TXN00229,CUST115,2025-01-16 03:08:00,Debit,Bills,Costco,263.71,17700.44,0
TXN00230,CUST111,2025-01-16 04:44:00,Debit,Entertainment,Target,81.67,11098.86,0
TXN00231,CUST118,2025-01-16 06:19:00,Credit,Shopping,Uber,62.93,18516.69,0
TXN00232,CUST121,2025-01-16 07:55:00,Debit,Food,Netflix,39.71,14789.52,0
TXN00233,CUST122,2025-01-16 09:30:00,Debit,Transport,Target,116.22,9402.23,0
TXN00234,CUST121,2025-01-16 11:06:00,Debit,Food,Netflix,259.28,14530.24,0
TXN00235,CUST113,2025-01-16 12:41:00,Debit,Entertainment,Stripe Vendor,52.1,20854.14,0
TXN00236,CUST105,2025-01-16 14:17:00,Debit,Health,Target,65.55,22519.65,0
TXN00237,CUST105,2025-01-16 15:53:00,Credit,Shopping,Amazon,67.63,22587.28,0
TXN00238,CUST112,2025-01-16 17:28:00,Credit,Food,Amazon,103.74,5968.12,0
TXN00239,CUST118,2025-01-16 19:04:00,Debit,Shopping,Netflix,36.12,18480.57,0
TXN00240,CUST121,2025-01-16 20:39:00,Debit,Bills,Stripe Vendor,212.26,14317.98,0
TXN00241,CUST107,2025-01-16 22:15:00,Credit,Transport,Netflix,47.05,16766.89,0
TXN00242,CUST101,2025-01-16 23:50:00,Debit,Entertainment,Local Shell Gas,151.64,12397.08,0
TXN00243,CUST120,2025-01-17 01:26:00,Debit,Food,Amazon,91.39,11284.25,0
TXN00244,CUST100,2025-01-17 03:01:00,Credit,Transport,Walmart,110.8,8009.13,0
TXN00245,CUST114,2025-01-17 04:37:00,Debit,Entertainment,Netflix,28.76,5602.74,0
TXN00246,CUST100,2025-01-17 06:13:00,Debit,Entertainment,Netflix,164.37,7844.76,0
TXN00247,CUST104,2025-01-17 07:48:00,Credit,Health,City Utilities,30.08,5982.0,0
TXN00248,CUST115,2025-01-17 09:24:00,Debit,Bills,Starbucks,19.45,17680.99,0
TXN00249,CUST118,2025-01-17 10:59:00,Debit,Health,Starbucks,99.94,18380.63,0
TXN00250,CUST103,2025-01-17 12:35:00,Debit,Health,Costco,153.25,24240.37,0
TXN00251,CUST102,2025-01-17 14:10:00,Debit,Shopping,Stripe Vendor,11.16,3378.33,0
TXN00252,CUST116,2025-01-17 15:46:00,Debit,Shopping,Amazon,13.63,10863.29,0
TXN00253,CUST116,2025-01-17 17:22:00,Debit,Transport,Amazon,199.75,10663.54,0
TXN00254,CUST111,2025-01-17 18:57:00,Debit,Bills,Starbucks,203.68,10895.18,0
TXN00255,CUST113,2025-01-17 20:33:00,Debit,Entertainment,Netflix,38.77,20815.37,0
TXN00256,CUST120,2025-01-17 22:08:00,Credit,Bills,Netflix,119.61,11403.86,0
TXN00257,CUST105,2025-01-17 23:44:00,Credit,Bills,Amazon,75.26,22662.54,0
TXN00258,CUST102,2025-01-18 01:19:00,Credit,Transport,Stripe Vendor,125.19,3503.52,0
TXN00259,CUST108,2025-01-18 02:55:00,Debit,Shopping,Uber,243.43,16967.63,0
TXN00260,CUST104,2025-01-18 04:30:00,Credit,Bills,Local Shell Gas,14.99,5996.99,0
TXN00261,CUST123,2025-01-18 06:06:00,Debit,Bills,City Utilities,185.6,21788.88,0
TXN00262,CUST116,2025-01-18 07:42:00,Credit,Bills,Amazon,86.52,10750.06,0
TXN00263,CUST113,2025-01-18 09:17:00,Credit,Food,Costco,104.65,20920.02,0
TXN00264,CUST120,2025-01-18 10:53:00,Debit,Bills,Uber,132.33,11271.53,0
TXN00265,CUST102,2025-01-18 12:28:00,Debit,Bills,Amazon,312.09,3191.43,0
TXN00266,CUST100,2025-01-18 14:04:00,Credit,Entertainment,City Utilities,12.01,7856.77,0
TXN00267,CUST119,2025-01-18 15:39:00,Debit,Health,Starbucks,8.59,15636.54,0
TXN00268,CUST120,2025-01-18 17:15:00,Debit,Food,Amazon,28.56,11242.97,0
TXN00269,CUST122,2025-01-18 18:51:00,Credit,Bills,Uber,521.14,9923.37,0
TXN00270,CUST100,2025-01-18 20:26:00,Debit,Health,Local Shell Gas,155.66,7701.11,0
TXN00271,CUST102,2025-01-18 22:02:00,Debit,Bills,Netflix,119.43,3072.0,0
TXN00272,CUST117,2025-01-18 23:37:00,Credit,Transport,Target,10.78,8631.82,0
TXN00273,CUST124,2025-01-19 01:13:00,Debit,Transport,Starbucks,258.55,11759.44,0
TXN00274,CUST109,2025-01-19 02:48:00,Debit,Health,Uber,206.04,6325.99,0
TXN00275,CUST121,2025-01-19 04:24:00,Debit,Food,Costco,136.16,14181.82,0
TXN00276,CUST102,2025-01-19 06:00:00,Credit,Entertainment,Costco,54.7,3126.7,0
TXN00277,CUST107,2025-01-19 07:35:00,Credit,Food,Walmart,13.77,16780.66,0
TXN00278,CUST113,2025-01-19 09:11:00,Debit,Food,Target,109.11,20810.91,0
TXN00279,CUST123,2025-01-19 10:46:00,Credit,Transport,Amazon,157.63,21946.51,0
TXN00280,CUST117,2025-01-19 12:22:00,Debit,Transport,Walmart,16.88,8614.94,0
TXN00281,CUST114,2025-01-19 13:57:00,Debit,Entertainment,Costco,125.54,5477.2,0
TXN00282,CUST121,2025-01-19 15:33:00,Debit,Bills,Amazon,45.49,14136.33,0
TXN00283,CUST122,2025-01-19 17:08:00,Debit,Entertainment,Walmart,178.4,9744.97,0
TXN00284,CUST101,2025-01-19 18:44:00,Debit,Bills,Amazon,98.08,12299.0,0
